Date,Time,Open,High,Low,Close,Volume
12/23/2024,10:45 AM,4.4743,4.7996,4.46,4.6416,112210
12/23/2024,11:00 AM,4.6402,4.6899,4.3,4.49,65552
12/23/2024,11:15 AM,4.49,4.6,4.4,4.4695,71369
12/23/2024,11:30 AM,4.5059,4.59,4.33,4.571,47421
12/23/2024,11:45 AM,4.52,4.67,4.41,4.41,28945
12/23/2024,12:00 PM,4.5067,4.55,4.3,4.3,39967
12/23/2024,12:15 PM,4.33,4.4,4.3,4.36,26432
12/23/2024,12:30 PM,4.31,4.41,4.22,4.38,34990
12/23/2024,12:45 PM,4.35,4.47,4.35,4.4499,27280
12/23/2024,1:00 PM,4.45,4.4899,4.39,4.4899,18637
12/23/2024,1:15 PM,4.44,4.5,4.44,4.485,27171
12/23/2024,1:30 PM,4.5299,4.57,4.4401,4.45,33563
12/23/2024,1:45 PM,4.44,4.45,4.39,4.39,34825
12/23/2024,2:00 PM,4.4,4.41,4.35,4.41,30711
12/23/2024,2:15 PM,4.41,4.41,4.2,4.38,26074
12/23/2024,2:30 PM,4.376,4.4,4.3499,4.36,12946
12/23/2024,2:45 PM,4.3501,4.41,4.3391,4.41,14687
12/23/2024,3:00 PM,4.4011,4.4011,4.25,4.3401,14972
12/23/2024,3:15 PM,4.29,4.3899,4.22,4.3,11249
12/23/2024,3:30 PM,4.32,4.41,4.2357,4.33,36403
12/23/2024,3:45 PM,4.36,4.41,4.36,4.3903,76705
12/23/2024,4:00 PM,4.31,4.39,4.29,4.3775,46732
12/24/2024,9:45 AM,4.7235,4.9,4.44,4.75,280644
12/24/2024,10:00 AM,4.824,4.87,4.32,4.5364,59665
12/24/2024,10:15 AM,4.57,4.8,4.51,4.75,62795
12/24/2024,10:30 AM,4.75,4.85,4.72,4.755,106554
12/24/2024,10:45 AM,4.77,4.84,4.71,4.7466,35640
12/24/2024,11:00 AM,4.81,4.8551,4.63,4.79,66078
12/24/2024,11:15 AM,4.841,4.8793,4.77,4.85,35748
12/24/2024,11:30 AM,4.865,4.9,4.8,4.8585,31679
12/24/2024,11:45 AM,4.88,4.88,4.63,4.68,55985
12/24/2024,12:00 PM,4.68,4.68,4.58,4.615,35223
12/24/2024,12:15 PM,4.62,4.7,4.6,4.66,17304
12/24/2024,12:30 PM,4.62,4.66,4.6,4.63,15965
12/24/2024,12:45 PM,4.61,4.77,4.56,4.58,25162
12/24/2024,1:00 PM,4.543,4.67,4.53,4.644,8302
12/24/2024,1:15 PM,4.65,4.65,4.65,4.65,183
12/26/2024,9:45 AM,4.75,4.9,4.7,4.8564,69520
12/26/2024,10:00 AM,4.8923,5.0428,4.8,4.96,149947
12/26/2024,10:15 AM,5,5.085,4.92,5.015,48123
12/26/2024,10:30 AM,5,5.868,5,5.6,169637
12/26/2024,10:45 AM,5.6,5.6299,5.28,5.62,132892
12/26/2024,11:00 AM,5.6299,5.7,5.45,5.7,44755
12/26/2024,11:15 AM,5.6999,5.98,5.55,5.76,125623
12/26/2024,11:30 AM,5.8792,5.99,5.7601,5.99,64065
12/26/2024,11:45 AM,5.985,6.1,5.82,6.02,48932
12/26/2024,12:00 PM,6.0497,6.075,5.96,6.05,71061
12/26/2024,12:15 PM,6.05,6.15,5.9,6,74136
12/26/2024,12:30 PM,6,6.15,5.9001,6.0901,48709
12/26/2024,12:45 PM,6.12,6.15,6.02,6.08,43575
12/26/2024,1:00 PM,6.04,6.12,5.9,6.04,71834
12/26/2024,1:15 PM,6.015,6.06,5.9606,5.9606,13208
12/26/2024,1:30 PM,5.96,6.03,5.95,5.9803,14628
12/26/2024,1:45 PM,5.98,5.99,5.92,5.99,23904
12/26/2024,2:00 PM,5.965,6,5.92,5.95,36600
12/26/2024,2:15 PM,5.98,6.01,5.9,6.01,23808
12/26/2024,2:30 PM,6.0048,6.0048,5.98,5.9801,7743
12/26/2024,2:45 PM,6,6.04,5.98,5.98,66638
12/26/2024,3:00 PM,6,6.05,6,6.045,28112
12/26/2024,3:15 PM,6.05,6.05,6,6.0001,6403
12/26/2024,3:30 PM,6.02,6.06,5.99,6.03,27454
12/26/2024,3:45 PM,6.06,6.25,6.06,6.2449,61949
12/26/2024,4:00 PM,6.2401,6.25,6.19,6.25,95041
12/27/2024,9:45 AM,7.43,7.55,6.7534,7.05,285336
12/27/2024,10:00 AM,7.34,8.6,7.23,8.0959,308400
12/27/2024,10:15 AM,8.15,8.15,6.84,7.103,216848
